E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.98196532,0.99874648,1.00000000,0.91178334,0.00000000,0.99728295,0.00094606,0.87893493,1.00000000,0.99608134,0.00000001,0.19507634,1.00000000
1.00000000,1.00000000,1.00000000,0.82371233,0.09234222,1.00000000,0.00091735,0.90739465,1.00000000,1.00000000,0.00000000,0.26979313,1.00000000
0.96376100,1.00000000,1.00000000,0.93064450,0.18764384,0.99502327,0.00000334,0.93409460,1.00000000,0.99214070,0.00000000,0.34240323,1.00000000
0.98970735,1.00000000,1.00000000,0.83744852,0.01600136,1.00000000,0.00142727,0.91245163,1.00000000,1.00000000,0.00000002,0.28440905,1.00000000
1.00000000,1.00000000,1.00000000,0.57480685,0.06822355,0.99427674,0.00708854,0.87851666,1.00000000,0.99534994,0.00000002,0.19161594,1.00000000
0.97626128,1.00000000,1.00000000,0.88464121,0.09756221,0.99112174,0.00302055,0.88575188,1.00000000,0.98964041,0.00000000,0.21486926,1.00000000
0.97968515,1.00000000,1.00000000,0.95146547,0.00000000,0.99453762,0.00393178,0.89856203,1.00000000,0.99424035,0.00000003,0.24900928,1.00000000
0.99341781,1.00000000,1.00000000,0.95837133,0.00426188,0.99995604,0.00048606,0.88814252,1.00000000,0.99845922,0.00000001,0.21816832,1.00000000
1.00000000,1.00000000,1.00000000,0.87009024,0.00000000,1.00000000,0.00481424,0.88894414,1.00000000,1.00000000,0.00000000,0.22265377,1.00000000
0.99577956,1.00000000,1.00000000,0.89460262,0.03728096,0.99903682,0.00582672,0.88804590,1.00000000,1.00000000,0.00000001,0.22121048,1.00000000
0.99045970,1.00000000,1.00000000,0.89392916,0.00000000,1.00000000,0.00052286,0.89156002,1.00000000,1.00000000,0.00000001,0.22830733,1.00000000
1.00000000,1.00000000,1.00000000,0.88555901,0.11189328,1.00000000,0.00158276,0.90175892,1.00000000,1.00000000,0.00000002,0.25513881,1.00000000
0.99037863,1.00000000,1.00000000,0.86815746,0.00000000,0.99920793,0.00235957,0.88698488,1.00000000,0.99954254,0.00000000,0.21713543,1.00000000
0.98777885,1.00000000,1.00000000,0.98037075,0.00000000,0.99642743,0.00025500,0.86709375,1.00000000,0.99484774,0.00000000,0.16312097,1.00000000
0.95702749,1.00000000,1.00000000,0.99088952,0.05023724,0.98748480,0.00217499,0.88325924,1.00000000,0.98417092,0.00000001,0.20390113,1.00000000
0.97133071,1.00000000,1.00000000,0.97212070,0.04658593,0.99258012,0.00591995,0.89667223,1.00000000,0.99293339,0.00000002,0.24500454,1.00000000
0.98934895,1.00000000,1.00000000,0.82178905,0.01290761,0.99254402,0.00182218,0.88019817,1.00000000,0.99061912,0.00000001,0.19846174,1.00000000
0.99194370,1.00000000,1.00000000,0.85187967,0.00000000,0.99708450,0.00261211,0.90345250,1.00000000,0.99606153,0.00000000,0.25980606,1.00000000
0.98626618,1.00000000,1.00000000,0.80691480,0.09747807,0.99152766,0.00690237,0.89948260,1.00000000,0.99210762,0.00000002,0.25229824,1.00000000
0.99352502,1.00000000,1.00000000,0.84122318,0.00543920,1.00000000,0.00265959,0.89936935,1.00000000,0.99988822,0.00000003,0.24873395,1.00000000
0.95631297,1.00000000,1.00000000,1.00000000,0.08162518,0.98766325,0.00255551,0.89770561,1.00000000,0.98476912,0.00000001,0.24453247,1.00000000
0.99386349,1.00000000,1.00000000,0.91372502,0.00295944,0.99994705,0.00232766,0.90196367,1.00000000,0.99963932,0.00000000,0.25560251,1.00000000
0.94789782,1.00000000,1.00000000,1.00000000,0.18448948,0.98187054,0.00222328,0.89452575,1.00000000,0.98621867,0.00000234,0.26180030,1.00000000
1.00000000,1.00000000,1.00000000,0.69204378,0.01886950,0.99465468,0.00152296,0.88031368,1.00000000,0.99314184,0.00000002,0.19852576,1.00000000
0.99538782,1.00000000,1.00000000,0.79780125,0.13703773,0.99599733,0.00256672,0.89404950,1.00000000,0.99470508,0.00000003,0.23398613,1.00000000
0.86802130,1.00000000,1.00000000,1.00000000,0.16625415,0.95596418,0.00208536,0.91472930,1.00000000,0.94385610,0.00000001,0.29519345,1.00000000
0.89262982,1.00000000,1.00000000,0.75541088,0.14535851,0.96655944,0.00039035,0.90526677,1.00000000,0.95677060,0.00000001,0.26886484,1.00000000
0.67887292,1.00000000,1.00000000,0.80251787,0.53669652,0.88493848,0.00029685,0.98861209,1.00000000,0.85203071,0.00000000,0.50321029,1.00000000
0.71193984,1.00000000,1.00000000,0.91468004,0.38558298,0.82661909,0.17871331,0.99177144,1.00000000,0.81051468,0.23250140,0.54235569,1.00000000
0.70494885,1.00000000,1.00000000,0.90211911,0.16786980,0.89402848,0.00034208,0.97864614,1.00000000,0.86322441,0.00000002,0.47524565,1.00000000
1.00000000,1.00000000,1.00000000,0.63591441,0.09571803,0.99270910,0.00094355,0.88792669,1.00000000,0.99031834,0.00000003,0.21874944,1.00000000
0.72996618,1.00000000,1.00000000,0.95978165,0.21517965,0.90517367,0.00031932,0.95504367,1.00000000,0.87742439,0.00000001,0.40843006,1.00000000
0.70130446,1.00000000,1.00000000,0.89896698,0.39608434,0.86727283,0.08286557,0.99990647,1.00000000,0.86441888,0.03531103,0.56599981,1.00000000
0.93015082,1.00000000,1.00000000,0.82232090,0.24727963,0.97503401,0.00172263,0.91145944,1.00000000,0.97225515,0.00000002,0.29807265,1.00000000
0.97349207,1.00000000,1.00000000,0.85447937,0.08139234,0.99135152,0.00496790,0.90579504,1.00000000,0.99074306,0.00000000,0.26880033,1.00000000
0.94792763,1.00000000,1.00000000,0.94746093,0.19156893,0.98308364,0.00285593,0.90312702,1.00000000,0.97889641,0.00000002,0.25736931,1.00000000
0.76423662,1.00000000,1.00000000,0.83311237,0.65909910,0.89317711,0.06592719,0.97193355,1.00000000,0.89114333,0.02418805,0.47988383,1.00000000
