E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.98034011,1.00000000,1.00000000,0.74257667,0.01247981,1.00000000,0.00146100,0.88921702,1.00000000,0.99887721,0.00000001,0.41466196,1.00000000
0.99673292,1.00000000,1.00000000,0.66825091,0.02111022,1.00000000,0.00457943,0.90272803,1.00000000,1.00000000,0.00000000,0.43531321,1.00000000
0.98660131,1.00000000,1.00000000,0.73288129,0.01146015,0.99306042,0.01593388,0.87849073,1.00000000,0.99867083,0.00000001,0.40018110,1.00000000
0.95110316,1.00000000,1.00000000,0.45206764,0.02362085,0.97856630,0.00073080,0.87332276,1.00000000,0.97325653,0.00000000,0.39058089,1.00000000
0.86678127,1.00000000,1.00000000,0.88509744,0.01318962,0.97224398,0.00213031,0.91899759,1.00000000,0.96808251,0.00000002,0.46120636,1.00000000
1.00000000,1.00000000,1.00000000,0.48956861,0.05428312,0.98903607,0.01027274,0.86398529,1.00000000,0.99247544,0.00000779,0.38216819,1.00000000
0.99215398,1.00000000,1.00000000,0.51964342,0.00273432,0.99137999,0.01041422,0.88502702,1.00000000,0.99333778,0.00003997,0.41029308,1.00000000
1.00000000,1.00000000,1.00000000,0.47027186,0.00000000,0.99794637,0.00000174,0.86174892,1.00000000,0.99533657,0.00000000,0.37313519,1.00000000
1.00000000,1.00000000,1.00000000,0.66879556,0.00000000,1.00000000,0.01215352,0.89183528,1.00000000,1.00000000,0.00000058,0.42126535,1.00000000
1.00000000,1.00000000,1.00000000,0.61857511,0.00000000,0.99936320,0.00893947,0.87906265,1.00000000,1.00000000,0.00000014,0.40071580,1.00000000
1.00000000,1.00000000,1.00000000,0.68263242,0.00000000,1.00000000,0.00603471,0.88008237,1.00000000,1.00000000,0.00000001,0.40216646,1.00000000
0.99766228,1.00000000,1.00000000,0.68742846,0.02197609,0.99987323,0.00540483,0.88283828,1.00000000,1.00000000,0.00000000,0.40598376,1.00000000
1.00000000,1.00000000,1.00000000,0.54191309,0.00000000,0.99753287,0.00923960,0.87310259,1.00000000,0.99975043,0.00000000,0.39048644,1.00000000
0.99417805,1.00000000,1.00000000,0.71563133,0.02630254,1.00000000,0.00085490,0.87821226,1.00000000,0.99846073,0.00000001,0.39799035,1.00000000
0.98952048,1.00000000,1.00000000,0.71457646,0.01808343,1.00000000,0.00051913,0.88923055,1.00000000,1.00000000,0.00000000,0.41431976,1.00000000
0.99555204,1.00000000,1.00000000,0.66375296,0.00000000,0.99963989,0.00373673,0.88343143,1.00000000,0.99925930,0.00000000,0.40655496,1.00000000
1.00000000,1.00000000,1.00000000,0.62531537,0.00410335,0.99944599,0.01251006,0.88615715,1.00000000,1.00000000,0.00013160,0.41193852,1.00000000
1.00000000,1.00000000,1.00000000,0.69470152,0.00348628,1.00000000,0.01039275,0.88439072,1.00000000,1.00000000,0.00000000,0.40947160,1.00000000
1.00000000,1.00000000,1.00000000,0.62980238,0.02672120,0.99931724,0.00937267,0.89474946,1.00000000,1.00000000,0.00002753,0.42482963,1.00000000
0.88250992,1.00000000,1.00000000,0.00000000,0.05474982,0.93544101,0.00417583,0.80195998,1.00000000,0.93174850,0.00000000,0.28752947,1.00000000
1.00000000,1.00000000,1.00000000,0.68670281,0.00328820,1.00000000,0.00778218,0.88486906,1.00000000,1.00000000,0.00000000,0.41004777,1.00000000
0.99597331,1.00000000,1.00000000,0.67956560,0.01574264,0.99887232,0.00475248,0.88790604,1.00000000,0.99887576,0.00000000,0.41344017,1.00000000
0.99525135,1.00000000,1.00000000,0.62722006,0.01362318,1.00000000,0.00581819,0.90076213,1.00000000,1.00000000,0.00000000,0.43287776,1.00000000
1.00000000,1.00000000,1.00000000,0.62675414,0.00602902,1.00000000,0.01186727,0.89274921,1.00000000,1.00000000,0.00010924,0.42257709,1.00000000
0.98012328,1.00000000,1.00000000,0.72298768,0.05599001,0.99081665,0.02202695,0.89913486,1.00000000,0.99950700,0.00000002,0.43357328,1.00000000
0.87952893,1.00000000,1.00000000,0.81628770,0.02018655,0.97605823,0.00081971,0.92552777,1.00000000,0.97296949,0.00000000,0.47247439,1.00000000
0.69198746,0.99979903,1.00000000,0.65947057,0.00000000,0.90531694,0.00039799,0.95393036,1.00000000,0.89347802,0.00000000,0.52133211,1.00000000
0.99715545,1.00000000,1.00000000,0.71123590,0.03885577,0.99898785,0.00508384,0.88756315,1.00000000,0.99914687,0.00000000,0.41282627,1.00000000
0.92488300,1.00000000,1.00000000,0.47643077,0.00000000,0.97100395,0.00173992,0.88267977,1.00000000,0.96617388,0.00000001,0.40535770,1.00000000
1.00000000,1.00000000,1.00000000,0.59981641,0.00004475,1.00000000,0.01144282,0.89164085,1.00000000,1.00000000,0.00010356,0.42116303,1.00000000
1.00000000,1.00000000,1.00000000,0.54976243,0.00000000,0.99797989,0.00801489,0.88376635,1.00000000,1.00000000,0.00007011,0.41385559,1.00000000
0.98822354,1.00000000,1.00000000,0.63144562,0.00977469,0.99791914,0.00535322,0.89432916,1.00000000,0.99803256,0.00000001,0.42320682,1.00000000
0.99141818,1.00000000,1.00000000,0.47767049,0.02137118,0.98814681,0.00735941,0.87772711,1.00000000,0.98826737,0.00000001,0.39858908,1.00000000
0.93221505,1.00000000,1.00000000,0.49416485,0.04316796,0.97443660,0.00294208,0.88907161,1.00000000,0.97062775,0.00000000,0.41508343,1.00000000
0.99223013,1.00000000,1.00000000,0.42307619,0.00448629,0.98843298,0.01222280,0.89623993,1.00000000,0.99103507,0.00000002,0.42787752,1.00000000
0.91517943,1.00000000,1.00000000,0.76331426,0.03526329,0.98284422,0.00279734,0.90199597,1.00000000,0.98012016,0.00000002,0.43546510,1.00000000
0.99438420,1.00000000,1.00000000,0.65797757,0.03114462,1.00000000,0.00490646,0.90155982,1.00000000,1.00000000,0.00000000,0.43378571,1.00000000
0.96917360,1.00000000,1.00000000,0.57773076,0.03768449,0.98868226,0.00692221,0.89938775,1.00000000,0.98826452,0.00000000,0.42982452,1.00000000
0.99515882,1.00000000,1.00000000,0.66789008,0.01809153,1.00000000,0.00148012,0.88227863,1.00000000,0.99868400,0.00000000,0.40425170,1.00000000
0.99771865,1.00000000,1.00000000,0.47043579,0.01626673,0.98702299,0.01558847,0.89164510,1.00000000,0.99107889,0.00000001,0.42125191,1.00000000
0.98286050,1.00000000,1.00000000,0.51983714,0.00000000,0.98915965,0.00789117,0.88463744,1.00000000,0.99004105,0.00000000,0.41032518,1.00000000
0.95527604,1.00000000,1.00000000,0.57695755,0.01998490,0.99031284,0.00283431,0.91217252,1.00000000,0.98820047,0.00000000,0.44977598,1.00000000
0.60715850,0.97214629,1.00000000,0.64127797,0.27055520,0.85009920,0.00021437,0.98406838,1.00000000,0.83139732,0.00000001,0.56551144,1.00000000
0.98209134,1.00000000,1.00000000,0.54716947,0.00000000,0.99037758,0.00182915,0.87738318,1.00000000,0.98795313,0.00000001,0.39719785,1.00000000
0.92129774,1.00000000,1.00000000,0.44562025,0.03529903,0.96880319,0.00670824,0.88991604,1.00000000,0.96632599,0.00000001,0.41705164,1.00000000
0.46034400,0.97882548,1.00000000,0.33686571,0.17631572,0.57786146,0.49000775,1.00000000,1.00000000,0.59558507,0.51357983,0.72271206,1.00000000
0.95271461,1.00000000,1.00000000,0.64773799,0.00772054,0.99303260,0.00019669,0.90878306,1.00000000,0.99004252,0.00000000,0.44446292,1.00000000
0.98403502,1.00000000,1.00000000,0.59244778,0.00000000,0.99604705,0.00124249,0.89254161,1.00000000,0.99377672,0.00000001,0.41948868,1.00000000
0.63637464,0.98811025,1.00000000,0.52320985,0.18392405,0.82947639,0.08740464,0.96587718,1.00000000,0.84626647,0.01668878,0.56373267,1.00000000
0.56805485,0.97539664,1.00000000,0.42553205,0.18012848,0.81603182,0.00000438,0.95530405,1.00000000,0.79396894,0.00000000,0.52757178,1.00000000
