E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.98196532,-4763.65757530,6.03933349,232877.07252324,-17667.72040294,0.99728295,0.00037435,-0.00052352,603.95552133,0.99608134,0.00010000,-0.00051473,598.02038598
1.00000000,-4749.45204262,6.03933349,220296.93526181,-8726.59979099,1.00000000,0.00036602,-0.00045833,603.95552133,1.00000000,0.00010000,-0.00045226,598.02038598
0.96376100,-4749.45204262,6.03933349,235571.21615281,501.06728791,0.99502327,0.00010097,-0.00039716,603.95552133,0.99214070,0.00010000,-0.00039156,598.02038598
0.98970735,-4749.45204262,6.03933349,222259.02385014,-16118.37399464,1.00000000,0.00051389,-0.00044674,603.95552133,1.00000000,0.00010000,-0.00044004,598.02038598
1.00000000,-4749.45204262,6.03933349,184743.06706503,-11061.91280338,0.99427674,0.00215557,-0.00052448,603.95552133,0.99534994,0.00010000,-0.00051762,598.02038598
0.97626128,-4749.45204262,6.03933349,229000.06798337,-8221.16985490,0.99112174,0.00097592,-0.00050790,603.95552133,0.98964041,0.00010000,-0.00049818,598.02038598
0.97968515,-4749.45204262,6.03933349,238545.30067734,-17667.72040294,0.99453762,0.00124016,-0.00047856,603.95552133,0.99424035,0.00010000,-0.00046964,598.02038598
0.99341781,-4749.45204262,6.03933349,239531.74012692,-17255.06004245,0.99995604,0.00024096,-0.00050243,603.95552133,0.99845922,0.00010000,-0.00049542,598.02038598
1.00000000,-4749.45204262,6.03933349,226921.59491381,-17667.72040294,1.00000000,0.00149606,-0.00050059,603.95552133,1.00000000,0.00010000,-0.00049167,598.02038598
0.99577956,-4749.45204262,6.03933349,230422.96330886,-14057.95713218,0.99903682,0.00178966,-0.00050265,603.95552133,1.00000000,0.00010000,-0.00049288,598.02038598
0.99045970,-4749.45204262,6.03933349,230326.76684711,-17667.72040294,1.00000000,0.00025163,-0.00049460,603.95552133,1.00000000,0.00010000,-0.00048695,598.02038598
1.00000000,-4749.45204262,6.03933349,229131.16757255,-6833.55106449,1.00000000,0.00055898,-0.00047124,603.95552133,1.00000000,0.00010000,-0.00046451,598.02038598
0.99037863,-4749.45204262,6.03933349,226645.51446329,-17667.72040294,0.99920793,0.00078424,-0.00050508,603.95552133,0.99954254,0.00010000,-0.00049629,598.02038598
0.98777885,-4749.45204262,6.03933349,242674.15533217,-17667.72040294,0.99642743,0.00017395,-0.00055064,603.95552133,0.99484774,0.00010000,-0.00054144,598.02038598
0.95702749,-4749.45204262,6.03933349,244176.66504510,-12803.45387276,0.98748480,0.00073072,-0.00051361,603.95552133,0.98417092,0.00010000,-0.00050735,598.02038598
0.97133071,-4749.45204262,6.03933349,241495.71109455,-13156.99505882,0.99258012,0.00181670,-0.00048289,603.95552133,0.99293339,0.00010000,-0.00047299,598.02038598
