E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.62007737,0.99975417,0.99999477,0.30535026,0.83449244,0.02093951,0.00056000,0.63958521,0.99997027,0.01662746,0.00000000,0.61462910,0.99999874
0.71223396,0.99976205,0.99999529,0.29704397,0.83885981,0.02160818,0.00054301,0.64398996,0.99997146,0.01715823,0.00000000,0.61680031,0.99999588
0.55152920,0.99976252,0.99999532,0.30712912,0.84221933,0.02064518,0.00000199,0.64812234,0.99997275,0.01631129,0.00000000,0.61891031,1.00000000
0.65175335,0.99976867,0.99999325,0.29833948,0.83616868,0.02155534,0.00084485,0.64477263,0.99996682,0.01710076,0.00000001,0.61722504,0.99999448
0.87424303,0.99977732,1.00000000,0.27356883,0.83800959,0.02054886,0.00419590,0.63952048,0.99998293,0.01656832,0.00000001,0.61452854,0.99999903
0.59772889,0.99977580,0.99999341,0.30279039,0.83904382,0.02014670,0.00178795,0.64064028,0.99997232,0.01611381,0.00000000,0.61520426,0.99999693
0.61104509,0.99977963,0.99999157,0.30909281,0.83449975,0.02058247,0.00232733,0.64262292,0.99997041,0.01647900,0.00000001,0.61619635,0.99999461
0.66750305,0.99978446,0.99999068,0.30974413,0.83575485,0.02129312,0.00028772,0.64101028,0.99996412,0.01682120,0.00000000,0.61530013,0.99999281
0.70992370,0.99978964,0.99999181,0.30141803,0.83454530,0.02143017,0.00284968,0.64113435,0.99997046,0.01720150,0.00000000,0.61543048,0.99999291
0.67772552,0.99979304,0.99999018,0.30372988,0.83691882,0.02117085,0.00344899,0.64099533,0.99997044,0.01705685,0.00000000,0.61538854,0.99999210
0.65491651,0.99979653,0.99999362,0.30366637,0.83542313,0.02145304,0.00030951,0.64153921,0.99997079,0.01702512,0.00000000,0.61559477,0.99999715
0.70760029,0.99980165,0.99999250,0.30287695,0.83954901,0.02193210,0.00093688,0.64311771,0.99996581,0.01740848,0.00000001,0.61637447,0.99999355
0.65457494,0.99980436,0.99999328,0.30123575,0.83481234,0.02119356,0.00139670,0.64083111,0.99996985,0.01691021,0.00000000,0.61527012,0.99999420
0.64371482,0.99980761,0.99998926,0.31181897,0.83508164,0.02082759,0.00015095,0.63775254,0.99996617,0.01652783,0.00000000,0.61370049,0.99999355
0.52814079,0.99980898,0.99999211,0.31281103,0.83737555,0.01969286,0.00128744,0.64025449,0.99997314,0.01569011,0.00000000,0.61488554,0.99999176
0.57906101,0.99981493,0.99999246,0.31104088,0.83724683,0.02033161,0.00350418,0.64233044,0.99997314,0.01637440,0.00000000,0.61607997,0.99999647
0.65025187,0.99982069,0.99998807,0.29686258,0.83605962,0.02032701,0.00107860,0.63978073,0.99996675,0.01619082,0.00000000,0.61472747,0.99999195
0.66120084,0.99982427,0.99998852,0.29970053,0.83368193,0.02091350,0.00154618,0.64337983,0.99996544,0.01662585,0.00000000,0.61651010,0.99999311
0.63747904,0.99982843,0.99998921,0.29545974,0.83904086,0.02019799,0.00408570,0.64276540,0.99996651,0.01630866,0.00000000,0.61629192,0.99998762
0.66796373,0.99983217,0.99998628,0.29869548,0.83579635,0.02130120,0.00157429,0.64274787,0.99996267,0.01693871,0.00000001,0.61618835,0.99999061
0.52571794,0.99983318,0.99998422,0.31438237,0.83848202,0.01971489,0.00151268,0.64249037,0.99997252,0.01573590,0.00000000,0.61606626,0.99999211
0.66942022,0.99984026,0.99998617,0.30553338,0.83570894,0.02129192,0.00137781,0.64314940,0.99996230,0.01691819,0.00000000,0.61638794,0.99998993
0.49800549,0.99983985,0.99998456,0.31987995,0.84210814,0.01901228,0.00131602,0.64199822,0.99999586,0.01584742,0.00000069,0.61656805,0.99999012
0.74113063,0.99984875,0.99999141,0.28462585,0.83626979,0.02059757,0.00090149,0.63979860,0.99996340,0.01639104,0.00000001,0.61472933,0.99998960
0.67601920,0.99985298,0.99998870,0.29460021,0.84043539,0.02077155,0.00151932,0.64192451,0.99996003,0.01651635,0.00000001,0.61575979,0.99998779
0.29784841,0.99984008,0.99998646,0.31460944,0.84146531,0.01616405,0.00123439,0.64512515,0.99995847,0.01289221,0.00000000,0.61753843,0.99998547
0.34895642,0.99984805,0.99999223,0.29060223,0.84072871,0.01727337,0.00023106,0.64366062,0.99996393,0.01372942,0.00000000,0.61677334,0.99999084
