E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
1596838.18993964,-4763.65757530,8.00332421,232877.07252324,-20722.53305657,219583.59687218,0.00037435,-0.00052352,870.11129554,221728.28854011,0.00010000,-0.00051473,878.57345145
1834161.57530387,-4743.17789116,8.01130499,220296.93526181,-8726.59979099,226595.14713842,0.00036602,-0.00045833,872.56926302,228805.68094037,0.00010000,-0.00045226,872.66191405
1420311.66203148,-4741.96587698,8.01183509,235571.21615281,501.06728791,216497.26862365,0.00010097,-0.00039716,875.23902137,217512.40509370,0.00010000,-0.00039156,881.18613743
1678410.78992124,-4725.96317217,7.97999081,222259.02385014,-16118.37399464,226041.05414534,0.00051389,-0.00044674,862.96813765,228039.42896581,0.00010000,-0.00044004,869.75678168
2251370.36592844,-4703.47807502,8.08355775,184743.06706503,-11061.91280338,215487.20334249,0.00215557,-0.00052448,896.30713665,220939.67569684,0.00010000,-0.00051762,879.18740296
1539285.97539176,-4707.43529423,7.98254744,229000.06798337,-8221.16985490,211270.22628409,0.00097592,-0.00050790,874.34426546,214879.13912768,0.00010000,-0.00049818,874.84265879
1573578.09791620,-4697.47897134,7.95436813,238545.30067734,-20702.45806419,215839.64669491,0.00124016,-0.00047856,870.38696381,219748.63144729,0.00010000,-0.00046964,870.03505270
1718969.69534679,-4684.91376305,7.94068691,239531.74012692,-17255.06004245,223291.41688404,0.00024096,-0.00050243,857.37563076,224311.68969910,0.00010000,-0.00049542,866.31224260
1828212.13981899,-4671.45099135,7.95801934,226921.59491381,-20577.35561646,224728.59656402,0.00149606,-0.00050059,870.49241406,229382.71273805,0.00010000,-0.00049167,866.50244202
1745294.79718975,-4662.59888368,7.93302207,230422.96330886,-14057.95713218,222009.37134313,0.00178966,-0.00050265,870.45002120,227453.86531567,0.00010000,-0.00049288,864.84111429
1686556.60536495,-4653.52374177,7.98567790,230326.76684711,-18166.19546824,224968.32416320,0.00025163,-0.00049460,871.17320442,227030.79837726,0.00010000,-0.00048695,875.28970116
1822228.87072733,-4640.21234013,7.96852992,229131.16757255,-6833.55106449,229991.70180978,0.00055898,-0.00047124,860.86803382,232142.58400117,0.00010000,-0.00046451,867.84365784
