Zc,E0Tn,betaTn
-3633.14674259,255673.71793715,0.00010000
-3630.17688528,268928.86056826,0.00010000
-3634.95072393,255310.91894523,0.00010000
-3652.73472399,214350.99714543,0.00010000
-3685.58580517,206854.18393685,0.00010000
-3635.77326363,244656.12322510,0.00010202
-3645.72796291,246112.10802962,0.00011035
-3641.81056987,249520.26172643,0.00010000
-3648.71629881,265322.32226820,0.00010015
-3651.06666465,260908.04297679,0.00010004
-3656.87753951,262070.77686708,0.00010000
-3659.43432736,258309.63883655,0.00010000
-3659.33448894,257214.52291975,0.00010000
-3668.86359419,254942.09009786,0.00010000
-3670.49883206,260971.96100246,0.00010000
-3671.42342262,256346.77939643,0.00010000
-3669.97301882,264105.83835132,0.00013409
-3675.13946098,263811.57452460,0.00010000
-3677.64014075,260729.17141130,0.00010713
-3708.18742470,161097.86445869,0.00010000
-3685.71061018,261183.71165485,0.00010000
-3688.68128642,255671.16945517,0.00010000
-3690.57478804,260546.66530687,0.00010000
-3691.35594261,267126.02806367,0.00012830
-3701.31364033,256784.04366911,0.00010001
-3741.28812978,213928.05947189,0.00010000
-3842.62727819,123802.27532444,0.00010000
-3705.90584966,256148.55190988,0.00010000
-3735.02253170,204155.40667222,0.00010000
-3709.89880473,266872.71017568,0.00012683
-3710.69182103,262219.59653592,0.00011816
-3721.59714464,254192.11016061,0.00010000
-3723.39966555,237673.84511066,0.00010000
-3746.37746472,210508.71652734,0.00010000
-3730.56354168,242243.39364094,0.00010001
-3758.98339758,224716.84946591,0.00010000
-3733.84271629,259718.42767396,0.00010000
-3744.90177821,237669.19390894,0.00010000
-3739.47814827,255334.03961312,0.00010000
-3741.92516799,242316.44174735,0.00010000
-3758.06260340,240592.21488346,0.00010000
-3768.83865244,237564.46354590,0.00010000
-4094.51465501,80763.83900620,0.00010000
-3768.30640581,237160.50625445,0.00010000
-3786.24135539,204369.19355067,0.00010000
-4033.67423939,15942.43844955,0.13314638
-3784.20243737,240594.64254459,0.00010000
-3779.61902263,246856.52993765,0.00010000
-3949.09972209,89464.23912008,0.00442334
-4064.90737206,62426.96119934,0.00010000
-4143.34016031,32929.60186989,0.00649436
-4388.15756118,26360.70153017,0.00010000
-4841.54463443,18802.54657143,0.00010099
-5396.82740702,6373.26991205,0.00012129
-5635.31919505,3550.30260756,0.01536217
-3778.88228981,252117.17393120,0.00010000
-4791.32404548,10639.32961296,0.00018684
-4808.90078576,5291.61577279,0.09395205
-3819.44558727,197316.57657405,0.00013995
-3802.92820468,255561.33160996,0.00010000
-3806.95772698,255131.06280711,0.00010000
-3812.98300604,257198.76496375,0.00010000
-3809.18312402,257492.07124010,0.00011498
-3815.18543662,263051.17803939,0.00010000
-3816.35300735,262827.47069355,0.00010488
-3809.97297015,260283.22341201,0.00010007
-3811.23863615,262293.52784945,0.00010000
-3811.88968665,252905.46495977,0.00010000
-4219.41150555,18238.63879806,0.00048040
-4642.20880257,17624.71990706,0.05758445
-5001.00755115,12708.11337712,0.00010056
-5300.32342420,5197.76501969,0.03077465
-3791.51119893,240791.50110128,0.00010000
-5799.98268910,3351.37984781,0.01120185
