Zc,E0Tn,betaTn
-4009.54203714,261275.84821964,0.00010000
-3999.32438566,248547.17468497,0.00010000
-3986.72763716,259984.37620114,0.00010000
-4002.69008174,206718.01645276,0.00010000
-3971.79836624,256841.40064764,0.00010000
-3971.54337094,252819.33363293,0.00011734
-3955.28961060,265330.55692270,0.00010000
-3959.48252803,247448.10200561,0.00010000
-3953.06270630,252518.38714282,0.00010000
-3941.70323051,258952.88769667,0.00010000
-3937.69676197,252320.19001074,0.00010000
-3932.39582023,259685.06008344,0.00010817
-3922.63175804,258760.46651550,0.00010000
-3917.35443846,260164.68784533,0.00010000
-3914.22604354,250732.53620908,0.00010000
-3904.96233542,253085.41450216,0.00010000
-3899.01808019,250922.32313352,0.00010000
-3894.61503943,259128.96691782,0.00010000
-3883.81948995,249808.37623238,0.00010000
-3872.94328559,254856.17937110,0.00010000
-3868.46214755,252443.23900927,0.00010000
-3858.09510913,265234.13456117,0.00010001
-3857.53332087,252891.27522890,0.00010000
-3846.24704484,254152.94389515,0.00010032
-3846.56027910,257350.30893201,0.00010000
-3844.63796355,251314.30184098,0.00010000
-3839.46295741,253404.98036253,0.00010000
-3829.13751495,249190.37022831,0.00010000
-3823.01740321,246816.10413802,0.00010000
-3810.22208372,261121.57281005,0.00010000
-3808.08126386,253720.10842573,0.00010000
-3803.68732669,252798.71756841,0.00010104
-3797.78388375,246021.26151519,0.00010000
-3787.53565185,259359.31132978,0.00010000
-3784.29482409,250187.85133246,0.00010000
-3772.01377110,266389.30882369,0.00010000
-3771.70032123,251162.07005279,0.00010000
-3760.33455816,251828.84979240,0.00010000
-3755.66999479,253996.96619417,0.00010497
-3748.29176610,255203.42914355,0.00013069
-3744.59120166,245592.34705364,0.00010000
-3735.22353573,248630.57546684,0.00010000
-3732.60077458,251934.75894364,0.00010009
-3719.62130140,253187.06074951,0.00010000
-3722.03287268,247713.25092548,0.00010000
-3712.43053331,250280.10588226,0.00010000
-3702.28770400,262768.45239714,0.00010183
-3699.59247923,250565.02143190,0.00010000
-3691.37395563,248804.45708380,0.00010000
-3677.05728011,255475.22407162,0.00010000
-3673.15208238,256246.99431883,0.00010000
-3669.33392733,256199.90955503,0.00010002
-3662.17174290,242904.33012495,0.00010000
-3654.46033334,251898.71535544,0.00010000
-3653.10470202,245050.86992553,0.00010000
-3646.53763997,249200.29546450,0.00010000
-3636.76388262,251776.08399260,0.00010000
-3631.54946398,246792.93199312,0.00010000
-3628.65304767,246614.59151925,0.00010303
-3620.22184530,255125.80075230,0.00010545
-3605.56458693,259426.24723948,0.00010000
